"cover_year","recruit_year","region","habitat","site_name","taxa","density"
2015,2016,"LK","OD","Sand Key Deep","AGAR",1.1
2015,2016,"LK","OD","Sand Key Deep","FAVI",1.4
2015,2016,"LK","OD","Sand Key Deep","Other",3.6
2015,2016,"LK","OD","Sand Key Deep","PORI",4.2
2015,2016,"LK","OD","Sand Key Deep","SIDE",9.4
2015,2016,"LK","OD","Sand Key Deep","UNKS",0
2015,2016,"LK","OD","Western Sambo Deep","AGAR",1.1
2015,2016,"LK","OD","Western Sambo Deep","FAVI",1.2
2015,2016,"LK","OD","Western Sambo Deep","Other",1.7
2015,2016,"LK","OD","Western Sambo Deep","PORI",2
2015,2016,"LK","OD","Western Sambo Deep","SIDE",8.3
2015,2016,"LK","OD","Western Sambo Deep","UNKS",0
2015,2016,"LK","OS","Sand Key Shallow","AGAR",3.7
2015,2016,"LK","OS","Sand Key Shallow","FAVI",1.4
2015,2016,"LK","OS","Sand Key Shallow","Other",0.3
2015,2016,"LK","OS","Sand Key Shallow","PORI",9.1
2015,2016,"LK","OS","Sand Key Shallow","SIDE",4.3
2015,2016,"LK","OS","Sand Key Shallow","UNKS",0
2015,2016,"LK","OS","Western Sambo Shallow","AGAR",7.2
2015,2016,"LK","OS","Western Sambo Shallow","FAVI",0.8
2015,2016,"LK","OS","Western Sambo Shallow","Other",0
2015,2016,"LK","OS","Western Sambo Shallow","PORI",11.4
2015,2016,"LK","OS","Western Sambo Shallow","SIDE",4.4
2015,2016,"LK","OS","Western Sambo Shallow","UNKS",0
2015,2016,"LK","P","Red Dun Reef","AGAR",0.4
2015,2016,"LK","P","Red Dun Reef","FAVI",9.6
2015,2016,"LK","P","Red Dun Reef","Other",18.8
2015,2016,"LK","P","Red Dun Reef","PORI",3.7
2015,2016,"LK","P","Red Dun Reef","SIDE",23.8
2015,2016,"LK","P","Red Dun Reef","UNKS",0
2015,2016,"LK","P","West Washerwoman","AGAR",1.1
2015,2016,"LK","P","West Washerwoman","FAVI",14.6
2015,2016,"LK","P","West Washerwoman","Other",15.5
2015,2016,"LK","P","West Washerwoman","PORI",5.1
2015,2016,"LK","P","West Washerwoman","SIDE",20.1
2015,2016,"LK","P","West Washerwoman","UNKS",0
2015,2016,"MK","OD","Sombrero Deep","AGAR",7.9
2015,2016,"MK","OD","Sombrero Deep","FAVI",2.2
2015,2016,"MK","OD","Sombrero Deep","Other",9.1
2015,2016,"MK","OD","Sombrero Deep","PORI",4.1
2015,2016,"MK","OD","Sombrero Deep","SIDE",10.6
2015,2016,"MK","OD","Sombrero Deep","UNKS",0
2015,2016,"MK","OD","Tennessee Deep","AGAR",1.1
2015,2016,"MK","OD","Tennessee Deep","FAVI",2.9
2015,2016,"MK","OD","Tennessee Deep","Other",6
2015,2016,"MK","OD","Tennessee Deep","PORI",6.4
2015,2016,"MK","OD","Tennessee Deep","SIDE",12.5
2015,2016,"MK","OD","Tennessee Deep","UNKS",0
2015,2016,"MK","OS","Sombrero Shallow","AGAR",1.8
2015,2016,"MK","OS","Sombrero Shallow","FAVI",1.2
2015,2016,"MK","OS","Sombrero Shallow","Other",0.3
2015,2016,"MK","OS","Sombrero Shallow","PORI",3.1
2015,2016,"MK","OS","Sombrero Shallow","SIDE",4.7
2015,2016,"MK","OS","Sombrero Shallow","UNKS",0
2015,2016,"MK","OS","Tennessee Shallow","AGAR",0
2015,2016,"MK","OS","Tennessee Shallow","FAVI",1.1
2015,2016,"MK","OS","Tennessee Shallow","Other",1.5
