"year","site_name","sst_mean","chl_mean","rrs667_mean","kd490_mean","dhw","region","site_code","habitat","latitude","longitude","depth"
2014,"Admiral",27.1825186666667,1.95096283058333,0.00179899175,0.154810179583333,4.46,"UK","9P4","P",25.0447,-80.3948,2.05
2014,"BC1",27.02229825,0.943983634833333,0.0001106855,0.0987012484166667,1.15,"BC","BC1","Inner",26.1479,-80.096,7.45
2014,"BC2",27.05325075,0.55778533575,0.000101150272727273,0.0711349519166667,1.16,"BC","BC2","Middle",26.16,-80.0825,14.3
2014,"BC3",27.05325075,0.55778533575,0.000101150272727273,0.0711349519166667,1.16,"BC","BC3","Outer",26.1586,-80.0774,19.2
2014,"BC4",27.0341834166667,0.73757818825,9.09287272727273e-05,0.084269691,1.15,"BC","BC4","Inner",26.1494,-80.0894,7.9
2014,"Carysfort Deep",27.1761513333333,1.14330578058333,0.000638917666666667,0.10821666375,4.04,"UK","9D1","OD",25.2208,-80.2099,16.85
2014,"Carysfort Shallow",27.1761513333333,1.14330578058333,0.000638917666666667,0.10821666375,4.04,"UK","9S1","OS",25.2201,-80.2105,2.5
2014,"DC1",27.076576,1.30866038233333,0.0005264355,0.118813786416667,1.44,"DC","DC1","Inner",25.8423,-80.1042,6.25
2014,"DC2",27.076576,1.01553575425,0.00038756925,0.101128701,1.44,"DC","DC2","Middle",25.8422,-80.095,12.25
2014,"DC3",27.101518,0.6627402355,0.000245093583333333,0.0790819421666667,1.44,"DC","DC3","Outer",25.8421,-80.0881,14.25
2014,"DC4",27.1703955833333,0.66503629075,0.000236519333333333,0.0789611093333333,2.38,"DC","DC4","Middle",25.6726,-80.0884,12.15
2014,"DC5",27.181539,1.06678093308333,0.0003647325,0.10377962725,2.38,"DC","DC5","Inner",25.6519,-80.0946,8.25
2014,"DC6",27.0362105,1.12775362741667,0.000292792545454545,0.108440588833333,1.13,"DC","DC6","NS",25.9516,-80.1091,5.75
2014,"DC7",27.0721738333333,0.85587253225,0.000223680818181818,0.0915245345833333,1.42,"DC","DC7","Outer",25.9585,-80.0938,16.25
2014,"DC8",27.0937365833333,1.9017040625,0.000743371166666667,0.15246110725,1.84,"DC","DC8","NS",25.6785,-80.1186,8.25
2014,"Dustan Rocks",27.1446460833333,2.03987392225,0.00168626941666667,0.160504625916667,5.84,"MK","7P2","P",24.6895,-81.0302,4.25
