"recruit_year","cover_year","site_name","region","habitat","taxa","total_quadrats","quadrat_area","abundance","density"
2016,2015,"Admiral","UK","P","FAVI",32,8,3,0.375
2016,2015,"Admiral","UK","P","Other",32,8,2,0.25
2016,2015,"Admiral","UK","P","PORI",32,8,8,1
2016,2015,"Admiral","UK","P","SIDE",32,8,30,3.75
2016,2015,"Admiral","UK","P","UNKS",32,8,1,0.125
2016,2015,"BC1","SEFL","Nearshore","FAVI",32,8,7,0.875
2016,2015,"BC1","SEFL","Nearshore","Other",32,8,1,0.125
2016,2015,"BC1","SEFL","Nearshore","PORI",32,8,2,0.25
2016,2015,"BC1","SEFL","Nearshore","SIDE",32,8,25,3.125
2016,2015,"BC1","SEFL","Nearshore","UNKS",32,8,3,0.375
2016,2015,"BC2","SEFL","Middle","FAVI",32,8,9,1.125
2016,2015,"BC2","SEFL","Middle","Other",32,8,3,0.375
2016,2015,"BC2","SEFL","Middle","PORI",32,8,1,0.125
2016,2015,"BC2","SEFL","Middle","SIDE",32,8,6,0.75
2016,2015,"BC3","SEFL","Outer","FAVI",32,8,7,0.875
2016,2015,"BC3","SEFL","Outer","Other",32,8,14,1.75
2016,2015,"BC3","SEFL","Outer","PORI",32,8,1,0.125
2016,2015,"BC3","SEFL","Outer","SIDE",32,8,9,1.125
2016,2015,"BC3","SEFL","Outer","UNKS",32,8,2,0.25
2016,2015,"BC4","SEFL","Inner","AGAR",32,8,1,0.125
2016,2015,"BC4","SEFL","Inner","FAVI",32,8,12,1.5
2016,2015,"BC4","SEFL","Inner","Other",32,8,4,0.5
2016,2015,"BC4","SEFL","Inner","PORI",32,8,61,7.625
2016,2015,"BC4","SEFL","Inner","SIDE",32,8,12,1.5
2016,2015,"Carysfort Deep","UK","OD","AGAR",32,8,32,4
2016,2015,"Carysfort Deep","UK","OD","FAVI",32,8,7,0.875
2016,2015,"Carysfort Deep","UK","OD","Other",32,8,8,1
2016,2015,"Carysfort Deep","UK","OD","PORI",32,8,26,3.25
2016,2015,"Carysfort Deep","UK","OD","SIDE",32,8,27,3.375
2016,2015,"Carysfort Deep","UK","OD","UNKS",32,8,2,0.25
2016,2015,"Carysfort Deep","UK","OD",NA,32,8,2,0.25
2016,2015,"Carysfort Shallow","UK","OS","AGAR",32,8,5,0.625
2016,2015,"Carysfort Shallow","UK","OS","FAVI",32,8,1,0.125
2016,2015,"Carysfort Shallow","UK","OS","PORI",32,8,68,8.5
2016,2015,"Carysfort Shallow","UK","OS","SIDE",32,8,4,0.5
2016,2015,"DC1","SEFL","Inner","AGAR",32,8,2,0.25
2016,2015,"DC1","SEFL","Inner","FAVI",32,8,8,1
2016,2015,"DC1","SEFL","Inner","Other",32,8,2,0.25
2016,2015,"DC1","SEFL","Inner","PORI",32,8,17,2.125
2016,2015,"DC1","SEFL","Inner","SIDE",32,8,34,4.25
2016,2015,"DC1","SEFL","Inner",NA,32,8,1,0.125
2016,2015,"DC2","SEFL","Middle","AGAR",32,8,2,0.25
2016,2015,"DC2","SEFL","Middle","FAVI",32,8,8,1
2016,2015,"DC2","SEFL","Middle","Other",32,8,19,2.375
2016,2015,"DC2","SEFL","Middle","PORI",32,8,1,0.125
2016,2015,"DC2","SEFL","Middle","SIDE",32,8,26,3.25
2016,2015,"DC2","SEFL","Middle","UNKS",32,8,3,0.375
2016,2015,"DC3","SEFL","Outer","FAVI",32,8,2,0.25
2016,2015,"DC3","SEFL","Outer","Other",32,8,3,0.375
2016,2015,"DC3","SEFL","Outer","SIDE",32,8,6,0.75
2016,2015,"DC4","SEFL","Outer","AGAR",32,8,1,0.125
2016,2015,"DC4","SEFL","Outer","FAVI",32,8,11,1.375
2016,2015,"DC4","SEFL","Outer","Other",32,8,7,0.875
2016,2015,"DC4","SEFL","Outer","PORI",32,8,7,0.875
2016,2015,"DC4","SEFL","Outer","SIDE",32,8,3,0.375
2016,2015,"DC5","SEFL","Inner","AGAR",32,8,14,1.75
2016,2015,"DC5","SEFL","Inner","FAVI",32,8,4,0.5
2016,2015,"DC5","SEFL","Inner","Other",32,8,4,0.5
2016,2015,"DC5","SEFL","Inner","PORI",32,8,30,3.75
2016,2015,"DC5","SEFL","Inner","SIDE",32,8,12,1.5
2016,2015,"DC6","SEFL","Nearshore","PORI",32,8,23,2.875
2016,2015,"DC6","SEFL","Nearshore","SIDE",32,8,39,4.875
2016,2015,"DC7","SEFL","Middle","FAVI",32,8,12,1.5
2016,2015,"DC7","SEFL","Middle","Other",32,8,12,1.5
2016,2015,"DC7","SEFL","Middle","PORI",32,8,2,0.25
2016,2015,"DC7","SEFL","Middle","SIDE",32,8,17,2.125
2016,2015,"DC7","SEFL","Middle",NA,32,8,1,0.125
2016,2015,"DC8","SEFL","Nearshore","Other",32,8,2,0.25
2016,2015,"DC8","SEFL","Nearshore","PORI",32,8,1,0.125
2016,2015,"DC8","SEFL","Nearshore","SIDE",32,8,12,1.5
2016,2015,"DC8","SEFL","Nearshore","UNKS",32,8,1,0.125
2016,2015,"Dustan Rocks","MK","P","FAVI",32,8,3,0.375
2016,2015,"Dustan Rocks","MK","P","Other",32,8,7,0.875
2016,2015,"Dustan Rocks","MK","P","PORI",32,8,17,2.125
2016,2015,"Dustan Rocks","MK","P","SIDE",32,8,53,6.625
2016,2015,"Molasses Deep","UK","OD","AGAR",32,8,23,2.875
2016,2015,"Molasses Deep","UK","OD","FAVI",32,8,4,0.5
2016,2015,"Molasses Deep","UK","OD","Other",32,8,8,1
2016,2015,"Molasses Deep","UK","OD","PORI",32,8,35,4.375
2016,2015,"Molasses Deep","UK","OD","SIDE",32,8,32,4
2016,2015,"Molasses Deep","UK","OD","UNKS",32,8,2,0.25
2016,2015,"Molasses Shallow","UK","OS","AGAR",32,8,21,2.625
2016,2015,"Molasses Shallow","UK","OS","FAVI",32,8,2,0.25
2016,2015,"Molasses Shallow","UK","OS","Other",32,8,2,0.25
2016,2015,"Molasses Shallow","UK","OS","PORI",32,8,17,2.125
2016,2015,"Molasses Shallow","UK","OS","SIDE",32,8,18,2.25
2016,2015,"Molasses Shallow","UK","OS",NA,32,8,1,0.125
2016,2015,"Porter Patch","UK","P","AGAR",32,8,3,0.375
2016,2015,"Porter Patch","UK","P","FAVI",32,8,1,0.125
2016,2015,"Porter Patch","UK","P","Other",32,8,7,0.875
2016,2015,"Porter Patch","UK","P","PORI",32,8,21,2.625
2016,2015,"Porter Patch","UK","P","SIDE",32,8,31,3.875
2016,2015,"Red Dun Reef","LK","P","FAVI",32,8,10,1.25
2016,2015,"Red Dun Reef","LK","P","Other",32,8,50,6.25
2016,2015,"Red Dun Reef","LK","P","PORI",32,8,20,2.5
2016,2015,"Red Dun Reef","LK","P","SIDE",32,8,105,13.125
2016,2015,"Red Dun Reef","LK","P","UNKS",32,8,2,0.25
2016,2015,"Sand Key Deep","LK","OD","AGAR",32,8,2,0.25
2016,2015,"Sand Key Deep","LK","OD","FAVI",32,8,10,1.25
2016,2015,"Sand Key Deep","LK","OD","Other",32,8,14,1.75
2016,2015,"Sand Key Deep","LK","OD","PORI",32,8,22,2.75
