"cover_year","juv_year","recruit_year","region","habitat","site_name","taxa","lta","density"
2015,2017,2016,"LK","OD","Sand Key Deep","AGAR",593.1,59.31
2015,2017,2016,"LK","OD","Sand Key Deep","FAVI",2638.3,263.83
2015,2017,2016,"LK","OD","Sand Key Deep","Other",11830,1183
2015,2017,2016,"LK","OD","Sand Key Deep","PORI",9197.7,919.77
2015,2017,2016,"LK","OD","Sand Key Deep","SIDE",12447.2,1244.72
2015,2017,2016,"LK","OD","Sand Key Deep","UNKS",0,0
2015,2017,2016,"LK","OD","Western Sambo Deep","AGAR",1116,111.6
2015,2017,2016,"LK","OD","Western Sambo Deep","FAVI",10422.8,1042.28
2015,2017,2016,"LK","OD","Western Sambo Deep","Other",6250.5,625.05
2015,2017,2016,"LK","OD","Western Sambo Deep","PORI",3923.8,392.38
2015,2017,2016,"LK","OD","Western Sambo Deep","SIDE",7973.3,797.33
2015,2017,2016,"LK","OD","Western Sambo Deep","UNKS",0,0
2015,2017,2016,"LK","OS","Sand Key Shallow","AGAR",4007.8,400.78
2015,2017,2016,"LK","OS","Sand Key Shallow","FAVI",71442.1,7144.21
2015,2017,2016,"LK","OS","Sand Key Shallow","Other",424.8,42.48
2015,2017,2016,"LK","OS","Sand Key Shallow","PORI",15874.3,1587.43
2015,2017,2016,"LK","OS","Sand Key Shallow","SIDE",13522.9,1352.29
2015,2017,2016,"LK","OS","Sand Key Shallow","UNKS",0,0
2015,2017,2016,"LK","OS","Western Sambo Shallow","AGAR",5193.3,519.33
2015,2017,2016,"LK","OS","Western Sambo Shallow","FAVI",42167.3,4216.73
2015,2017,2016,"LK","OS","Western Sambo Shallow","Other",0,0
2015,2017,2016,"LK","OS","Western Sambo Shallow","PORI",18584.5,1858.45
2015,2017,2016,"LK","OS","Western Sambo Shallow","SIDE",14991.7,1499.17
2015,2017,2016,"LK","OS","Western Sambo Shallow","UNKS",0,0
2015,2017,2016,"LK","P","Red Dun Reef","AGAR",867.6,86.76
2015,2017,2016,"LK","P","Red Dun Reef","FAVI",357511.5,35751.15
2015,2017,2016,"LK","P","Red Dun Reef","Other",38133,3813.3
2015,2017,2016,"LK","P","Red Dun Reef","PORI",4549.9,454.99
2015,2017,2016,"LK","P","Red Dun Reef","SIDE",75735.3,7573.53
2015,2017,2016,"LK","P","Red Dun Reef","UNKS",0,0
2015,2017,2016,"LK","P","West Washerwoman","AGAR",3008.3,300.83
2015,2017,2016,"LK","P","West Washerwoman","FAVI",673091.3,67309.13
2015,2017,2016,"LK","P","West Washerwoman","Other",36275,3627.5
2015,2017,2016,"LK","P","West Washerwoman","PORI",12690.7,1269.07
2015,2017,2016,"LK","P","West Washerwoman","SIDE",108266.7,10826.67
2015,2017,2016,"LK","P","West Washerwoman","UNKS",0,0
2015,2017,2016,"MK","OD","Sombrero Deep","AGAR",12443.2,1244.32
2015,2017,2016,"MK","OD","Sombrero Deep","FAVI",9241.4,924.14
2015,2017,2016,"MK","OD","Sombrero Deep","Other",12635.1,1263.51
