"cover_year","recruit_year","region","habitat","site_name","macroalgae"
2015,2016,"BC","Inner","BC4",0.0572657578125
2015,2016,"BC","Middle","BC2",0.0185571804375
2015,2016,"BC","Nearshore","BC1",0.038036448375
2015,2016,"BC","Outer","BC3",0.0288640800625
2015,2016,"DC","Inner","DC1",0.0071945628125
2015,2016,"DC","Inner","DC5",0.064299824875
2015,2016,"DC","Middle","DC2",0.0107072534375
2015,2016,"DC","Middle","DC7",0.0222708583125
2015,2016,"DC","Nearshore","DC6",0.0316573375
2015,2016,"DC","Nearshore","DC8",0.038600731625
2015,2016,"DC","Outer","DC3",0.0089200138125
2015,2016,"DC","Outer","DC4",0.0130342884375
2015,2016,"LK","OD","Sand Key Deep",0.140643334
2015,2016,"LK","OD","Western Sambo Deep",0.122076264615385
2015,2016,"LK","OS","Sand Key Shallow",0.0481188527142857
2015,2016,"LK","OS","Western Sambo Shallow",0.0354587496
2015,2016,"LK","P","Red Dun Reef",0.0279973821666667
2015,2016,"LK","P","West Washerwoman",0.0291141688571429
2015,2016,"MK","OD","Sombrero Deep",0.0838423160833333
2015,2016,"MK","OD","Tennessee Deep",0.0758217169285714
2015,2016,"MK","OS","Sombrero Shallow",0.0559958461666667
2015,2016,"MK","OS","Tennessee Shallow",0.0502518550833333
2015,2016,"MK","P","Dustan Rocks",0.038840766125
2015,2016,"MK","P","West Turtle Shoal",0.0371069075
2015,2016,"UK","OD","Carysfort Deep",0.121025156285714
2015,2016,"UK","OD","Molasses Deep",0.0499132071538462
2015,2016,"UK","OS","Carysfort Shallow",0.0242104713333333
2015,2016,"UK","OS","Molasses Shallow",0.0724617443
2015,2016,"UK","P","Admiral",0.03261104375
2015,2016,"UK","P","Porter Patch",0.08287162
2016,2017,"BC","Inner","BC4",0.100406366375
2016,2017,"BC","Middle","BC2",0.0640450960625
2016,2017,"BC","Nearshore","BC1",0.0806096598125
2016,2017,"BC","Outer","BC3",0.0926889701875
2016,2017,"DC","Inner","DC1",0.044631788125
2016,2017,"DC","Inner","DC5",0.06903780875
2016,2017,"DC","Middle","DC2",0.1686017615
2016,2017,"DC","Middle","DC7",0.1055854826875
2016,2017,"DC","Nearshore","DC6",0.079914016
2016,2017,"DC","Nearshore","DC8",0.0663318023125
2016,2017,"DC","Outer","DC3",0.1683380315625
2016,2017,"DC","Outer","DC4",0.053141350625
2016,2017,"LK","OD","Sand Key Deep",0.190602626444444
2016,2017,"LK","OD","Western Sambo Deep",0.159590804230769
2016,2017,"LK","OS","Sand Key Shallow",0.0857668176666667
2016,2017,"LK","OS","Western Sambo Shallow",0.0123524120833333
2016,2017,"LK","P","Red Dun Reef",0.0167163594
2016,2017,"LK","P","West Washerwoman",0.02432752325
2016,2017,"MK","OD","Sombrero Deep",0.0511502417
2016,2017,"MK","OD","Tennessee Deep",0.115888926923077
2016,2017,"MK","OS","Sombrero Shallow",0.0512621907272727
2016,2017,"MK","OS","Tennessee Shallow",0.0575772187272727
2016,2017,"MK","P","Dustan Rocks",0.0894934127777778
2016,2017,"MK","P","West Turtle Shoal",0.0457314087142857
2016,2017,"UK","OD","Carysfort Deep",0.0761519225
2016,2017,"UK","OD","Molasses Deep",0.0320374814545455
2016,2017,"UK","OS","Carysfort Shallow",0.0223612543
2016,2017,"UK","OS","Molasses Shallow",0.0592150619
2016,2017,"UK","P","Admiral",0.0274250244615385
2016,2017,"UK","P","Porter Patch",0.0542927160714286
