year,region,habitat,site_code,site_name,station,points,percent_cover,group_coarse,group_fine
1996,LK,BCP,3H1,Content Keys,181,584,0.186643836,Macroalgae,Macroalgae
1996,LK,BCP,3H1,Content Keys,181,584,0.030821918,Porifera,Sponge_other
1996,LK,BCP,3H1,Content Keys,181,584,0.001712329,Stony coral,Stony_coral
1996,LK,BCP,3H1,Content Keys,181,584,0.001712329,Stony coral,Stony_coral
1996,LK,BCP,3H1,Content Keys,181,584,0.779109589,Substrate,Substratum_turf
1996,LK,BCP,3H1,Content Keys,182,678,0.66519174,Macroalgae,Macroalgae
1996,LK,BCP,3H1,Content Keys,182,678,0.010324484,Porifera,Sponge_other
1996,LK,BCP,3H1,Content Keys,182,678,0.001474926,Stony coral,Millepora
1996,LK,BCP,3H1,Content Keys,182,678,0.004424779,Stony coral,Stony_coral
1996,LK,BCP,3H1,Content Keys,182,678,0.318584071,Substrate,Substratum_turf
1996,LK,BCP,3H1,Content Keys,183,590,0.044067797,Macroalgae,Macroalgae
1996,LK,BCP,3H1,Content Keys,183,590,0.001694915,Porifera,Sponge_other
1996,LK,BCP,3H1,Content Keys,183,590,0.006779661,Stony coral,Stony_coral
1996,LK,BCP,3H1,Content Keys,183,590,0.947457627,Substrate,Substratum_turf
1996,LK,BCP,3H1,Content Keys,184,580,0.679310345,Macroalgae,Macroalgae
1996,LK,BCP,3H1,Content Keys,184,580,0.032758621,Others,Other
1996,LK,BCP,3H1,Content Keys,184,580,0.017241379,Porifera,Sponge_other
1996,LK,BCP,3H1,Content Keys,184,580,0.006896552,Stony coral,Stony_coral
1996,LK,BCP,3H1,Content Keys,184,580,0.001724138,Stony coral,Stony_coral
1996,LK,BCP,3H1,Content Keys,184,580,0.262068966,Substrate,Substratum_turf
1996,LK,BCP,2P1,Smith Shoal,391,495,0.022222222,Macroalgae,Macroalgae
1996,LK,BCP,2P1,Smith Shoal,391,495,0.024242424,Octocoral,Octocoral
1996,LK,BCP,2P1,Smith Shoal,391,495,0.028282828,Porifera,Sponge_other
1996,LK,BCP,2P1,Smith Shoal,391,495,0.01010101,Stony coral,Stony_coral
1996,LK,BCP,2P1,Smith Shoal,391,495,0.054545455,Stony coral,Millepora
