year,region,habitat,site_id,site_name,station_id,octocoral_density
2011,UK,P,32,Porter Patch,321,9
2011,UK,P,32,Porter Patch,322,
2011,UK,P,32,Porter Patch,323,7.2
2011,UK,P,32,Porter Patch,324,8.6
2011,UK,P,33,Admiral,331,2.3
2011,UK,P,33,Admiral,332,0.9
2011,UK,P,33,Admiral,333,5.7
2011,UK,P,33,Admiral,334,5.1
2011,MK,P,34,West Turtle Shoal,341,
2011,MK,P,34,West Turtle Shoal,342,
2011,MK,P,34,West Turtle Shoal,343,
2011,MK,P,34,West Turtle Shoal,344,
2011,MK,P,35,Dustan Rocks,351,
2011,MK,P,35,Dustan Rocks,352,
2011,MK,P,35,Dustan Rocks,353,
2011,MK,P,35,Dustan Rocks,354,
2011,LK,P,36,West Washer Women,361,5.9
2011,LK,P,36,West Washer Women,362,8.9
2011,LK,P,36,West Washer Women,363,3.5
2011,LK,P,36,West Washer Women,364,6.8
2011,LK,P,38,Cliff Green,381,11.2
2011,LK,P,38,Cliff Green,382,10.7
2011,LK,P,38,Cliff Green,383,13.3
2011,LK,P,38,Cliff Green,384,7.1
2011,UK,OS,50,Carysfort Shallow,501,4.1
2011,UK,OS,50,Carysfort Shallow,502,2
2011,UK,OS,50,Carysfort Shallow,503,40.5
2011,UK,OS,50,Carysfort Shallow,504,20.4
2011,MK,OS,54,Alligator Shallow,541,23.2
2011,MK,OS,54,Alligator Shallow,542,21.8
2011,MK,OS,54,Alligator Shallow,543,28.4
2011,MK,OS,54,Alligator Shallow,544,19.9
2011,MK,OS,55,Tennessee Shallow,551,
2011,MK,OS,55,Tennessee Shallow,552,
2011,MK,OS,55,Tennessee Shallow,553,
2011,MK,OS,55,Tennessee Shallow,554,
2011,MK,OS,56,Sombrero Shallow,561,
2011,MK,OS,56,Sombrero Shallow,562,
2011,MK,OS,56,Sombrero Shallow,563,
2011,MK,OS,56,Sombrero Shallow,564,
2011,LK,OS,59,Western Sambo Shallow,591,10.9
2011,LK,OS,59,Western Sambo Shallow,592,6.5
2011,LK,OS,59,Western Sambo Shallow,593,4.5
2011,LK,OS,59,Western Sambo Shallow,594,3.7
2011,LK,OS,61,Sand Key Shallow,611,8.3
2011,LK,OS,61,Sand Key Shallow,612,8.7
2011,LK,OS,61,Sand Key Shallow,613,7
2011,LK,OS,61,Sand Key Shallow,614,7.3
2011,UK,OD,70,Carysfort Deep,701,19
2011,UK,OD,70,Carysfort Deep,702,13.3
2011,UK,OD,70,Carysfort Deep,703,10.7
2011,UK,OD,70,Carysfort Deep,704,25.4
2011,MK,OD,74,Alligator Deep,741,16.3
2011,MK,OD,74,Alligator Deep,742,7.8
2011,MK,OD,74,Alligator Deep,743,9.5
2011,MK,OD,74,Alligator Deep,744,16.2
2011,MK,OD,75,Tennessee Deep,751,
2011,MK,OD,75,Tennessee Deep,752,
2011,MK,OD,75,Tennessee Deep,753,
2011,MK,OD,75,Tennessee Deep,754,
2011,MK,OD,76,Sombrero Deep,761,
2011,MK,OD,76,Sombrero Deep,762,
2011,MK,OD,76,Sombrero Deep,763,
2011,MK,OD,76,Sombrero Deep,764,
2011,LK,OD,79,Western Sambo Deep,791,14.3
2011,LK,OD,79,Western Sambo Deep,792,11.5
2011,LK,OD,79,Western Sambo Deep,793,14.2
2011,LK,OD,79,Western Sambo Deep,794,12.7
2011,LK,OD,81,Sand Key Deep,811,16.4
2011,LK,OD,81,Sand Key Deep,812,16.3
2011,LK,OD,81,Sand Key Deep,813,25.5
2011,LK,OD,81,Sand Key Deep,814,27.5
2012,UK,P,32,Porter Patch,321,18.7
2012,UK,P,32,Porter Patch,322,14.6
2012,UK,P,32,Porter Patch,323,15.9
2012,UK,P,32,Porter Patch,324,20
2012,UK,P,33,Admiral,331,10.9
2012,UK,P,33,Admiral,332,5.7
2012,UK,P,33,Admiral,333,15.6
2012,UK,P,33,Admiral,334,22.5
2012,MK,P,34,West Turtle Shoal,341,11
2012,MK,P,34,West Turtle Shoal,342,14.2
2012,MK,P,34,West Turtle Shoal,343,11
2012,MK,P,34,West Turtle Shoal,344,11.7
2012,MK,P,35,Dustan Rocks,351,13.7
2012,MK,P,35,Dustan Rocks,352,13
2012,MK,P,35,Dustan Rocks,353,13
2012,MK,P,35,Dustan Rocks,354,7
2012,LK,P,36,West Washer Women,361,7.3
2012,LK,P,36,West Washer Women,362,12.6
2012,LK,P,36,West Washer Women,363,4.1
2012,LK,P,36,West Washer Women,364,7.8
2012,LK,P,38,Cliff Green,381,13.4
2012,LK,P,38,Cliff Green,382,10
2012,LK,P,38,Cliff Green,383,15.2
2012,LK,P,38,Cliff Green,384,7.7
2012,UK,OS,50,Carysfort Shallow,501,3.5
2012,UK,OS,50,Carysfort Shallow,502,2.1
2012,UK,OS,50,Carysfort Shallow,503,51.6
2012,UK,OS,50,Carysfort Shallow,504,38.1
2012,MK,OS,54,Alligator Shallow,541,26.3
2012,MK,OS,54,Alligator Shallow,542,22.1
2012,MK,OS,54,Alligator Shallow,543,30.8
2012,MK,OS,54,Alligator Shallow,544,26.2
2012,MK,OS,55,Tennessee Shallow,551,19.4
2012,MK,OS,55,Tennessee Shallow,552,20.8
2012,MK,OS,55,Tennessee Shallow,553,30.5
2012,MK,OS,55,Tennessee Shallow,554,22.2
2012,MK,OS,56,Sombrero Shallow,561,7.6
2012,MK,OS,56,Sombrero Shallow,562,12
2012,MK,OS,56,Sombrero Shallow,563,13.5
2012,MK,OS,56,Sombrero Shallow,564,8.7
2012,LK,OS,59,Western Sambo Shallow,591,9.3
2012,LK,OS,59,Western Sambo Shallow,592,10.2
2012,LK,OS,59,Western Sambo Shallow,593,5
2012,LK,OS,59,Western Sambo Shallow,594,3.3
2012,LK,OS,61,Sand Key Shallow,611,8.6
2012,LK,OS,61,Sand Key Shallow,612,7.5
2012,LK,OS,61,Sand Key Shallow,613,7.5
