year,dhw,site_name
1986,0,Broward County 4
1987,0.46,Broward County 4
1988,0,Broward County 4
1989,0,Broward County 4
1990,0,Broward County 4
1991,0,Broward County 4
1992,0,Broward County 4
1993,0,Broward County 4
1994,0,Broward County 4
1995,0,Broward County 4
1996,0,Broward County 4
1997,0.74,Broward County 4
1998,0.68,Broward County 4
1999,0.15,Broward County 4
2000,0,Broward County 4
2001,0,Broward County 4
2002,0,Broward County 4
2003,0,Broward County 4
2004,0,Broward County 4
2005,3.1,Broward County 4
2006,0,Broward County 4
2007,0.31,Broward County 4
2008,0,Broward County 4
2009,0,Broward County 4
2010,0.16,Broward County 4
2011,0.17,Broward County 4
2012,0,Broward County 4
2013,0,Broward County 4
2014,1.15,Broward County 4
2015,0.75,Broward County 4
2016,0,Broward County 4
2017,0,Broward County 4
2018,0,Broward County 4
2019,0.29,Broward County 4
2020,0,Broward County 4
2021,0,Broward County 4
2022,2.49,Broward County 4
2023,11.34,Broward County 4
2024,3.49,Broward County 4
2025,6.35,Broward County 4
1986,0,Broward County 1
1987,0.46,Broward County 1
1988,0,Broward County 1
1989,0,Broward County 1
1990,0,Broward County 1
1991,0,Broward County 1
1992,0,Broward County 1
1993,0,Broward County 1
1994,0,Broward County 1
1995,0,Broward County 1
1996,0,Broward County 1
1997,0.74,Broward County 1
1998,0.68,Broward County 1
1999,0.15,Broward County 1
2000,0,Broward County 1
2001,0,Broward County 1
2002,0,Broward County 1
2003,0,Broward County 1
2004,0,Broward County 1
2005,3.1,Broward County 1
2006,0,Broward County 1
2007,0.31,Broward County 1
2008,0,Broward County 1
2009,0,Broward County 1
2010,0.16,Broward County 1
2011,0.17,Broward County 1
2012,0,Broward County 1
2013,0,Broward County 1
2014,1.15,Broward County 1
2015,0.75,Broward County 1
2016,0,Broward County 1
2017,0,Broward County 1
2018,0,Broward County 1
2019,0.29,Broward County 1
2020,0,Broward County 1
2021,0,Broward County 1
2022,2.49,Broward County 1
2023,11.34,Broward County 1
2024,3.49,Broward County 1
2025,6.35,Broward County 1
1986,0,Broward County 2
1987,0.31,Broward County 2
1988,0,Broward County 2
1989,0,Broward County 2
1990,0,Broward County 2
1991,0,Broward County 2
1992,0,Broward County 2
1993,0,Broward County 2
1994,0,Broward County 2
1995,0,Broward County 2
1996,0,Broward County 2
1997,0.73,Broward County 2
1998,0.68,Broward County 2
1999,0.15,Broward County 2
2000,0,Broward County 2
2001,0,Broward County 2
2002,0,Broward County 2
2003,0,Broward County 2
2004,0,Broward County 2
2005,2.79,Broward County 2
2006,0,Broward County 2
2007,0.31,Broward County 2
2008,0,Broward County 2
2009,0,Broward County 2
2010,0.16,Broward County 2
2011,0.31,Broward County 2
2012,0,Broward County 2
2013,0,Broward County 2
2014,1.16,Broward County 2
2015,0.46,Broward County 2
2016,0,Broward County 2
2017,0,Broward County 2
2018,0,Broward County 2
2019,0.29,Broward County 2
2020,0,Broward County 2
2021,0,Broward County 2
2022,2.18,Broward County 2
2023,10.86,Broward County 2
2024,3.49,Broward County 2
2025,6.14,Broward County 2
1986,0,Broward County 5
1987,0.45,Broward County 5
1988,0,Broward County 5
1989,0,Broward County 5
1990,0,Broward County 5
1991,0,Broward County 5
1992,0,Broward County 5
1993,0,Broward County 5
1994,0,Broward County 5
1995,0,Broward County 5
1996,0,Broward County 5
1997,0.73,Broward County 5
1998,0.7,Broward County 5
1999,0.14,Broward County 5
2000,0,Broward County 5
2001,0,Broward County 5
2002,0,Broward County 5
2003,0,Broward County 5
2004,0.15,Broward County 5
2005,2.82,Broward County 5
2006,0,Broward County 5
2007,0.31,Broward County 5
2008,0,Broward County 5
2009,0,Broward County 5
2010,0.3,Broward County 5
2011,0.47,Broward County 5
2012,0,Broward County 5
2013,0,Broward County 5
2014,1.47,Broward County 5
2015,0.61,Broward County 5
2016,0,Broward County 5
2017,0,Broward County 5
2018,0,Broward County 5
2019,0.15,Broward County 5
2020,0,Broward County 5
2021,0,Broward County 5
2022,2.16,Broward County 5
2023,11.35,Broward County 5
2024,3.49,Broward County 5
2025,6.19,Broward County 5
1986,0,"Sunrise Blvd, FL"
1987,0.46,"Sunrise Blvd, FL"
1988,0,"Sunrise Blvd, FL"
1989,0,"Sunrise Blvd, FL"
1990,0,"Sunrise Blvd, FL"
1991,0,"Sunrise Blvd, FL"
1992,0,"Sunrise Blvd, FL"
1993,0,"Sunrise Blvd, FL"
1994,0,"Sunrise Blvd, FL"
1995,0,"Sunrise Blvd, FL"
1996,0,"Sunrise Blvd, FL"
1997,0.74,"Sunrise Blvd, FL"
