Project_Year,Survey_Year,Survey_Month,Survey_Date,Region,Habitat,Site_Name,Station,Quadrat,Stony,Colony_Type,ID,ID_2,Diameter
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-010,1,Juv,PAST,PORI,13
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-010,1,Juv,SSID,SIDE,6
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-069,1,Juv,PAST,PORI,31
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-069,1,Juv,SSID,SIDE,23
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-069,1,Juv,SSID,SIDE,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-069,1,Juv,SSID,SIDE,7
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-069,1,Iso,SMIC,SMIC,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-069,1,Iso,SMIC,SMIC,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-069,1,Juv,SMIC,SMIC,27
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-069,1,Juv,SMIC,SMIC,31
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-093,1,Iso,EFAS,EFAS,36
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-093,1,Iso,EFAS,EFAS,39
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-093,1,Iso,PPOR,PORI,24
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-093,1,Juv,SSID,SIDE,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-093,1,Juv,SSID,SIDE,3
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Juv,CNAT,CNAT,28
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,24
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,15
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,19
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,13
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,14
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,11
