lta_ids,recruit_map
Acropora_cervicornis,Other
Acropora_palmata,Other
Acropora_prolifera,Other
Agaricia_fragilis,AGAR
Agaricia_lamarcki,AGAR
Cladocora_arbuscula,Other
Colpophyllia_natans,FAVI
Dendrogyra_cylindrus,Other
Dichocoenia_stokesii,Other
Diploria_labyrinthiformis,FAVI
Eusmilia_fastigiata,Other
Favia_fragum,FAVI
Helioseris_cucullata,AGAR
Isophyllia_rigida,Other
Isophyllia_sinuosa,Other
Madracis_aurentenra,Other
Madracis_decactis,Other
Madracis_pharensis,Other
Madracis_scenaria,Other
Madracis_sp,Other
Manicina_areolata,FAVI
Meandrina_meandrites,Other
Millepora_complanata,NA
Montastraea_cavernosa,FAVI
Mussa_angulosa,Other
Mycetophyllia_aliciae,Other
Mycetophyllia_danaana,Other
Mycetophyllia_ferox,Other
Mycetophyllia_lamarckiana,Other
Mycetophyllia_sp,Other
Oculina_diffusa,Other
Oculina_robusta,Other
Orbicella_annularis_complex,FAVI
Orbicella_faveolata,FAVI
Orbicella_franksi,FAVI
Phyllangia_americana,Other
Porites_astreoides,PORI
Porites_branneri,PORI
Porites_porites,PORI
Pseudodiploria_clivosa,FAVI
Pseudodiploria_strigosa,FAVI
Scleractinia,UNKS
Scolymia_cubensis,Other
Scolymia_lacera,Other
Siderastrea_radians,SIDE
Siderastrea_siderea,SIDE
Solenastrea_bournoni,Other
Solenastrea_hyades,Other
Stephanocoenia_intersepta,Other
Undaria_agaricites_complex,AGAR
Tubastraea_coccinea,Other
