Year,Site,Depth,Habitat,Region,Tile,Loc,AGAR,FAVI,PORI,SIDE,Other,UNKS,TotalSto,TotalOct,TotalCor
2016,BC1,Shallow,Nearshore,SEFL,BC11-100-035,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-100-035,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-100-035,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-100-044,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-100-044,Top,0,0,0,1,0,1,2,0,2
2016,BC1,Shallow,Nearshore,SEFL,BC11-100-044,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-100-096,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-100-096,Top,0,0,0,1,0,1,2,0,2
2016,BC1,Shallow,Nearshore,SEFL,BC11-100-096,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-008,Bottom,0,0,0,0,0,0,0,1,1
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-008,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-008,Side,0,0,1,0,0,0,1,0,1
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-018,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-018,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-018,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-049,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-049,Top,0,0,0,1,0,0,1,0,1
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-049,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-075,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-075,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-075,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-090,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-090,Top,0,0,0,1,0,0,1,0,1
2016,BC1,Shallow,Nearshore,SEFL,BC11-500-090,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-043,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-043,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-043,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-053,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-053,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-053,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-142,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-142,Top,0,0,0,0,0,1,1,0,1
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-142,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-221,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-221,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-100-221,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-014,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-014,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-014,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-043,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-043,Top,0,0,0,0,0,1,1,0,1
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-043,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-129,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-129,Top,0,1,0,0,0,2,3,0,3
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-129,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-171,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-171,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC12-500-171,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-090,Bottom,0,0,0,0,0,0,1,0,1
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-090,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-090,Side,1,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-151,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-151,Top,0,0,0,1,0,0,1,1,2
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-151,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-187,Bottom,0,0,0,0,0,0,0,1,1
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-187,Top,0,0,1,0,0,0,1,0,1
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-187,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-208,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-208,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-100-208,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-004,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-004,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-004,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-089,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-089,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-089,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-162,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-162,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-162,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-198,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-198,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC13-500-198,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-049,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-049,Top,0,1,0,1,0,0,2,0,2
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-049,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-081,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-081,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-081,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-185,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-185,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-185,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-209,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-209,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-100-209,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-026,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-026,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-026,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-082,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-082,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-082,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-104,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-104,Top,0,0,0,1,0,1,2,0,2
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-104,Side,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-155,Bottom,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-155,Top,0,0,0,0,0,0,0,0,0
2016,BC1,Shallow,Nearshore,SEFL,BC14-500-155,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-100-015,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-100-015,Top,0,0,0,0,0,0,0,1,1
2016,BC2,Deep,Middle,SEFL,BC21-100-015,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-100-070,Bottom,0,0,0,0,0,0,0,1,1
2016,BC2,Deep,Middle,SEFL,BC21-100-070,Top,0,0,1,0,0,0,1,1,2
2016,BC2,Deep,Middle,SEFL,BC21-100-070,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-100-088,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-100-088,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-100-088,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-100-151,Bottom,0,0,0,0,0,0,0,1,1
2016,BC2,Deep,Middle,SEFL,BC21-100-151,Top,0,0,0,0,0,1,1,0,1
2016,BC2,Deep,Middle,SEFL,BC21-100-151,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-500-028,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-500-028,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-500-028,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-500-074,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-500-074,Top,0,0,0,1,0,0,1,0,1
2016,BC2,Deep,Middle,SEFL,BC21-500-074,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-500-174,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-500-174,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-500-174,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-500-206,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC21-500-206,Top,0,0,0,1,0,0,1,0,1
2016,BC2,Deep,Middle,SEFL,BC21-500-206,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-100-034,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-100-034,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-100-034,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-100-064,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-100-064,Top,0,0,0,0,0,1,1,0,1
2016,BC2,Deep,Middle,SEFL,BC22-100-064,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-100-137,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-100-137,Top,0,0,0,0,0,0,1,0,1
2016,BC2,Deep,Middle,SEFL,BC22-100-137,Side,0,0,1,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-100-188,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-100-188,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-100-188,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-041,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-041,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-041,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-111,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-111,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-111,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-135,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-135,Top,0,0,0,1,0,0,2,0,2
2016,BC2,Deep,Middle,SEFL,BC22-500-135,Side,0,0,0,0,0,1,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-193,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-193,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC22-500-193,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-100-060,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-100-060,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-100-060,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-100-126,Bottom,0,0,0,0,0,0,0,1,1
2016,BC2,Deep,Middle,SEFL,BC23-100-126,Top,0,0,0,1,0,0,1,0,1
2016,BC2,Deep,Middle,SEFL,BC23-100-126,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-100-165,Bottom,0,0,0,0,0,0,1,0,1
2016,BC2,Deep,Middle,SEFL,BC23-100-165,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-100-165,Side,0,0,1,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-100-202,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-100-202,Top,0,0,0,1,0,0,1,0,1
2016,BC2,Deep,Middle,SEFL,BC23-100-202,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-500-012,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-500-012,Top,0,0,1,2,0,0,3,0,3
2016,BC2,Deep,Middle,SEFL,BC23-500-012,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-500-104,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-500-104,Top,0,1,0,0,0,0,1,0,1
2016,BC2,Deep,Middle,SEFL,BC23-500-104,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-500-167,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-500-167,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-500-167,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-500-206,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC23-500-206,Top,0,0,1,0,0,0,1,0,1
2016,BC2,Deep,Middle,SEFL,BC23-500-206,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-100-024,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-100-024,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-100-024,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-100-090,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-100-090,Top,0,0,0,1,0,0,1,0,1
2016,BC2,Deep,Middle,SEFL,BC24-100-090,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-100-119,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-100-119,Top,0,1,0,1,0,0,2,0,2
2016,BC2,Deep,Middle,SEFL,BC24-100-119,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-100-202,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-100-202,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-100-202,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-017,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-017,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-017,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-070,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-070,Top,0,0,0,0,0,1,2,0,2
2016,BC2,Deep,Middle,SEFL,BC24-500-070,Side,0,0,1,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-136,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-136,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-136,Side,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-168,Bottom,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-168,Top,0,0,0,0,0,0,0,0,0
2016,BC2,Deep,Middle,SEFL,BC24-500-168,Side,0,0,0,0,0,0,0,0,0
2016,BC3,Deep,Outer,SEFL,BC31-100-015,Bottom,0,0,0,0,0,0,0,0,0
2016,BC3,Deep,Outer,SEFL,BC31-100-015,Top,0,0,0,0,0,0,0,0,0
2016,BC3,Deep,Outer,SEFL,BC31-100-015,Side,0,0,0,0,0,0,0,0,0
2016,BC3,Deep,Outer,SEFL,BC31-100-050,Bottom,0,0,0,0,0,0,0,0,0
2016,BC3,Deep,Outer,SEFL,BC31-100-050,Top,0,0,0,0,0,0,0,0,0
2016,BC3,Deep,Outer,SEFL,BC31-100-050,Side,0,0,0,0,0,0,0,0,0
2016,BC3,Deep,Outer,SEFL,BC31-100-092,Bottom,0,0,0,0,0,0,0,0,0
2016,BC3,Deep,Outer,SEFL,BC31-100-092,Top,0,0,0,0,0,0,0,0,0
