year,region,habitat,site_code,site_name,station,points,percent_cover,id,group_coarse,group_fine
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Acropora palmata,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Acropora cervicornis,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Mycetophyllia lamarckiana complex,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Mycetophyllia ferox,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Mycetophyllia lamarckiana complex,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Mycetophyllia aliciae,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Solenastrea hyades,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Undaria agaricites complex,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Agaricia lamarcki,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Agaricia fragilis,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Helioseris cucullata,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Colpophyllia natans,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Scolymia sp.,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Scolymia sp.,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Mussa angulosa,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Orbicella annularis complex,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0.007204611,Montastraea cavernosa,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Dendrogyra cylindrus,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Manicina areolata,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Favia fragum,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Siderastrea radians,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Siderastrea siderea,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0.001440922,Dichocoenia stokesii,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Stephanocoenia intersepta,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Pseudodiploria strigosa,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Pseudodiploria clivosa,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Diploria labyrinthiformis,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Isophyllia sinuosa,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Isophyllia rigida,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Porites porites complex,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Porites astreoides,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Madracis decactis complex,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Millepora alcicornis,StonyCoral,Millepora
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Millepora complanata,StonyCoral,Millepora
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Eusmilia fastigiata,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Oculina diffusa,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Cladocora arbuscula,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Meandrina meandrites,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Solenastrea bournoni,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Madracis aurentenra,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Scleractinia,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Phyllangia americana,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Astrangia poculata,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Porites astreoides,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Astrangia solitaria,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0,Madracis decactis complex,StonyCoral,Stony_coral
2003,PB,Nearshore,PB1,Palm Beach 1,841,694,0.001440922,Macroalgae,Macroalgae,Macroalgae
