region,site_code,site_name,habitat,latitude,longitude,t1_depth,t2_depth
BC,USEC26,John U. Lloyd Beach State Park,,26.08314,-80.10411,3.9,4.5
BC,USEC24,"Sunrise Blvd, FL",,26.13943,-80.09856,5.2,5.5
BC,BCA,Broward County A,NS,26.1498,-80.0968,6.1,5.5
BC,BC4,Broward County 4,Inner,26.1494,-80.0894,7.3,8.5
BC,BC1,Broward County 1,Inner,26.1479,-80.096,8.5,6.4
BC,BC5,Broward County 5,Middle,26.3019,-80.0682,11.9,11.6
BC,BC2,Broward County 2,Middle,26.16,-80.0825,14.6,14
BC,BC6,Broward County 6,Outer,26.3011,-80.0609,17,17.5
BC,BC3,Broward County 3,Outer,26.1586,-80.0774,18.9,19.5
BC,USEC23,"Sunkist, FL",,26.25023,-80.06646,,
BC,USEC25,Dania Beach,,26.05102,-80.10566,,
BC,USEC27,Vista Park,,26.16294,-80.0937,,
DC,DC1,Dade County 1,Inner,25.8423,-80.1042,6,6.5
DC,DC6,Dade County 6,NS,25.9516,-80.1091,6,5.5
DC,DC5,Dade County 5,Inner,25.6519,-80.0946,8,8.5
DC,DC8,Dade County 8,NS,25.6785,-80.1186,8,8.5
DC,DC4,Dade County 4,Middle,25.6726,-80.0884,12.3,12
DC,DC2,Dade County 2,Middle,25.8422,-80.095,12.5,12
DC,DC3,Dade County 3,Outer,25.8421,-80.0881,14.5,14
DC,DC7,Dade County 7,Outer,25.9585,-80.0938,16.5,16
DT,1P7,Little Africa,P,24.635,-82.919,2,2.5
DT,1P6,Loggerhead Patch,P,24.635,-82.9163,2.5,2
DT,1P2,Palmata Patch,P,24.6207,-82.8673,3,2
DT,1P3,Prolifera Patch,P,24.6206,-82.8696,3,2
DT,DRTO2,Leah's Lump,PC,24.65668,-82.8102,4,
DT,CAR3,Windjammer wreck,P,24.62429,-82.943,5,4
DT,DRTO3,Magic Castles,P,24.61371,-82.87121,8.5,8
DT,1P1,White Shoal,P,24.6414,-82.8962,9,8
DT,1P4,Temptation Rock,PC,24.6431,-82.9307,10,11
DT,1PA,The Maze,PC,24.609,-82.9496,10,12
DT,1PC,Texas Rock,PC,24.6805,-82.8853,10,13
DT,1PB,Davis Rock,PC,24.6871,-82.9072,11,12.5
DT,1D1,Bird Key Reef,OD,24.6117,-82.8702,12,10
DT,1P5,Mayer's Peak,PC,24.608,-82.944,12,10
DT,DRTO1,Ok every time,PC,24.65075,-83.0303,15,16
DT,1D2,Black Coral Rock,PC,24.6993,-83.0022,26,25
LK,5P4,Jaap Reef,P,24.5857,-81.5826,3,2.5
LK,5S3,Eastern Sambo Shallow,OS,24.4917,-81.663565,3.5,3
LK,FLK3,Sawyer Key,BCP,24.7772,-81.546733,3.5,3
LK,5S4,Western Sambo Shallow,OS,24.4796,-81.7176,4,3
LK,5S5,Rock Key Shallow,OS,24.4545,-81.8589,5,3
LK,2S1,Sand Key Shallow,OS,24.452,-81.8775,6,6.5
LK,3H1,Content Keys,BCP,24.8221,-81.4889,6,6.1
LK,5P1,West Washer Women,P,24.5475,-81.5866,6,5
LK,5P5,Wonderland,P,24.5603,-81.5021,7,6
LK,5S2,Looe Key Shallow,OS,24.5453,-81.4079,7,3
LK,5P6,Red Dun Reef,P,24.5209,-81.6621,8,7
LK,2P1,Smith Shoal,BCP,24.7197,-81.9195,8.1,8
LK,5P2,Western Head,P,24.4977,-81.8056,8.5,9
LK,5P3,Cliff Green,P,24.5036,-81.7677,8.5,8
LK,2D1,Sand Key Deep,OD,24.4517,-81.8798,9.5,11
LK,5D5,Rock Key Deep,OD,24.4532,-81.8568,10,12
LK,FLK1,Lowe Shoal,BCP,24.7075,-81.9776,12,11
LK,5D2,Looe Key Deep,OD,24.5421,-81.4153,13,12
LK,5D4,Western Sambo Deep,OD,24.478,-81.7171,13,10
LK,5D3,Eastern Sambo Deep,OD,24.4884,-81.6659,14,15
MC,MC1,Martin County 1,NS,27.1317,-80.134,4,3
MC,MC2,Martin County 2,NS,27.112,-80.1254,4,5
MC,MC3,Martin County 3,FT,27.1206,-80.1272,7,6
MK,7P2,Dustan Rocks,P,24.6895,-81.0302,4,4.5
MK,5H1,Moser Channel,HB,24.6891,-81.1676,4.5,4
MK,7H2,Long Key,HB,24.7972,-80.784,4.5,4
MK,7S1,Alligator Shallow,OS,24.8457,-80.624,5.5,5
MK,7P1,West Turtle Shoal,P,24.6993,-80.9669,6,6.5
MK,5S1,Sombrero Shallow,OS,24.6253,-81.1116,6.5,6
MK,7P3,Rawa Reef,P,24.7176,-80.9357,7,6
MK,7P4,Thor,P,24.6715,-81.0506,7.5,7
MK,7S2,Tennessee Shallow,OS,24.745,-80.7812,8,7
MK,7D1,Alligator Deep,OD,24.8452,-80.6209,10,10.5
MK,7D2,Tennessee Deep,OD,24.7527,-80.7578,14,13
MK,5D1,Sombrero Deep,OD,24.6223,-81.112,15.5,15
MQ,MRQ25-41,Mantislandia,SPGR_LR,24.45886,-82.20629,7,
MQ,MRQ25-27,Suddenly Good,CONT_LR,24.45817,-82.16579,8,
MQ,MRQ2,Sponge Bath,P,24.47663,-82.2062,9,10
MQ,MRQ25-44,Wrasseland,ISOL_MR,24.47484,-82.16978,9,
MQ,MRQ25-109,Half Good,ISOL_HR,24.48286,-82.03677,10,
MQ,MRQ25-33,Hammie,ISOL_MR,24.46832,-82.04002,10,
MQ,MRQ25-31,Ruby Oasis,ISOL_MR,24.47666,-82.09169,10,
MQ,MRQ25-43,Barreled,CONT_LR,24.45097,-82.09677,10,
MQ,MRQ25-40,Average Joe,ISOL_MR,24.47601,-82.20581,11,
MQ,MRQ25-47,Twilight,ISOL_MR,24.48009,-82.1511,12,
MQ,MRQ25-57,Stalactite,ISOL_MR,24.50277,-82.29808,12,
MQ,MRQ25-18,Megalopolis,ISOL_MR,24.49991,-82.31919,13,
MQ,MRQ25-17,Snap City,ISOL_MR,24.50456,-82.30259,13,
MQ,MRQ25-22,Big Eye,CONT_LR,24.45295,-82.1421,15,
MQ,MRQ25-11,Funky Town,SPGR_LR,24.432,-82.44391,15,
MQ,MRQ1,Lion's Den,OD,24.45238,-82.1238,21,20
PB,PB1,Palm Beach 1,Inner,26.7097,-80.0286,6,7
PB,PB4,Palm Beach 4,Outer,26.4878,-80.0391,18,19
PB,PB5,Palm Beach 5,Outer,26.4417,-80.0474,18,19
PB,PB2,Palm Beach 2,Middle,26.6785,-80.0183,18.5,18
PB,PB3,Palm Beach 3,Outer,26.7104,-80.0158,18.5,18
UK,9H1,Rattlesnake,HB,25.1736,-80.3475,2,2.1
UK,9P4,Admiral,P,25.0447,-80.3948,2,2.1
UK,9S1,Carysfort Shallow,OS,25.2201,-80.2105,2,3
UK,9H3,Dove Key,HB,25.0447,-80.4684,2.5,2.7
UK,FLK2,Cheeca Rocks,P,24.90405,-80.615467,2.5,3
UK,9H2,El Radabob,HB,25.1201,-80.3782,3,2.5
UK,9S2,Grecian Rocks,OS,25.1075,-80.3068,3,6
UK,9P5,Two Patches,P,25.0219,-80.439,3.3,3
UK,9S4,Conch Shallow,OS,24.9553,-80.458,3.5,3.3
UK,9P3,Porter Patch,P,25.1032,-80.3243,4,5
UK,9P1,Turtle,P,25.2947,-80.2191,4.5,4
UK,9S3,Molasses Shallow,OS,25.0088,-80.3765,5,7
UK,9P6,Burr Fish,P,24.9992,-80.4669,6,5
UK,9D3,Molasses Deep,OD,25.0072,-80.3756,12,15
UK,9D4,Conch Deep,OD,24.9519,-80.4513,14,15
UK,9D1,Carysfort Deep,OD,25.2208,-80.2099,20,13.7
